week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
1, 19571, 11141, 8430, 83836.27563856101, 64, 34, 30, 297.742712474619, 35
1, 19656, 11186, 8470, 84158.0126662321, 85, 45, 40, 321.73702767108114, 46
1, 19726, 11226, 8500, 84463.36342708401, 70, 40, 30, 305.3507608519078, 41
51, 19820, 11270, 8550, 84793.63715293178, 94, 44, 50, 330.273725847777, 45
1, 19938, 11318, 8620, 85145.0244781007, 118, 48, 70, 351.3873251689181, 50
1, 19982, 11362, 8620, 85416.37543579085, 44, 44, 0, 271.35095769013947, 44
1, 20016, 11396, 8620, 85669.6490760675, 34, 34, 0, 253.2736402766418, 34
51, 20137, 11437, 8700, 86022.71155510303, 121, 41, 80, 353.06247903554, 43
1, 20214, 11474, 8740, 86335.43721886956, 77, 37, 40, 312.72566376652986, 38
1, 20251, 11511, 8740, 86594.46979032553, 37, 37, 0, 259.03257145596604, 37
1, 20326, 11556, 8770, 86905.8528859638, 75, 45, 30, 311.38309563827124, 46
1, 20367, 11597, 8770, 87172.09683940733, 41, 41, 0, 266.24395344352433, 41
51, 20467, 11647, 8820, 87508.42460542417, 100, 50, 50, 336.327766016838, 51
1, 20579, 11689, 8890, 87854.33991776372, 112, 42, 70, 345.91531233955715, 44
1, 20619, 11729, 8890, 88118.8266037003, 40, 40, 0, 264.4866859365871, 40
1, 20704, 11774, 8930, 88440.56363137139, 85, 45, 40, 321.73702767108114, 46
51, 20829, 11819, 9010, 88797.13378385961, 125, 45, 80, 356.57015248821097, 47
1, 20876, 11866, 9010, 89073.3668337292, 47, 47, 0, 276.2330498695885, 47
1, 20913, 11903, 9010, 89332.39940518518, 37, 37, 0, 259.03257145596604, 37
1, 20984, 11944, 9040, 89638.9777160039, 71, 41, 30, 306.57831081870995, 42
51, 21062, 11972, 9090, 89951.86050262398, 78, 28, 50, 312.8827866200841, 29
1, 21138, 12008, 9130, 90263.4196749977, 76, 36, 40, 311.5591723737189, 37
1, 21178, 12048, 9130, 90527.90636093428, 40, 40, 0, 264.4866859365871, 40
51, 21299, 12089, 9210, 90880.96883996982, 121, 41, 80, 353.06247903554, 43
1, 21381, 12131, 9250, 91199.39050981328, 82, 42, 40, 318.42166984345636, 43
1, 21415, 12165, 9250, 91452.66415008993, 34, 34, 0, 253.2736402766418, 34
1, 21487, 12207, 9280, 91760.45921311431, 72, 42, 30, 307.79506302439404, 43
1, 21532, 12252, 9280, 92033.46121952544, 45, 45, 0, 273.00200641113514, 45
51, 21669, 12299, 9370, 92399.18254173029, 137, 47, 90, 365.72132220485213, 49
1, 21711, 12341, 9370, 92667.15553123248, 42, 42, 0, 267.97298950218305, 42
1, 21744, 12374, 9370, 92918.43370392532, 33, 33, 0, 251.27817269284301, 33
1, 21780, 12410, 9370, 93175.58267820363, 36, 36, 0, 257.1489742783178, 36
